"Name","Team","Salary","Position","Projection","Std Dev","Ceiling","Bust%","Boom%","Slate","Own%","Optimal%","Leverage"
"Travis Kelce","KC","8,100","TE","21.1","9.8","27.8","35.4","22.8","Monday","","",""
"Chiefs","KC","2,600","DST","7.2","5.1","10.7","28.1","8.6","Monday","","",""
"Eagles","PHI","2,800","DST","7.2","5.1","10.7","31.3","7.2","Monday","","",""
"A.J. Brown","PHI","8,900","WR","18.3","9.6","24.7","54.6","7.0","Monday","","",""
"Patrick Mahomes","KC","8,000","QB","21.7","8.2","27.2","51.4","3.5","Monday","","",""
"Rashee Rice","KC","5,300","WR","11.0","6.9","15.6","48.5","3.3","Monday","","",""
"DeVonta Smith","PHI","7,000","WR","13.3","7.7","18.5","57.7","3.0","Monday","","",""
"D'Andre Swift","PHI","6,700","RB","13.9","5.9","17.9","51.0","2.0","Monday","","",""
"Jalen Hurts","PHI","8,300","QB","20.4","8.1","25.8","62.2","1.8","Monday","","",""
"Isiah Pacheco","KC","6,300","RB","12.6","5.6","16.4","53.7","1.3","Monday","","",""
"Justin Watson","KC","3,000","WR","5.5","5.0","8.9","47.7","0.5","Monday","","",""
"Noah Gray","KC","2,500","TE","3.5","3.7","6.0","55.5","0.1","Monday","","",""
"Jerick McKinnon","KC","4,600","RB","5.4","4.0","8.1","82.0","0.0","Monday","","",""
"Skyy Moore","KC","3,000","WR","3.8","3.7","6.3","64.6","0.0","Monday","","",""
"Marquez Valdes-Scantling","KC","3,100","WR","4.3","4.2","7.1","60.8","0.0","Monday","","",""
"Kenneth Gainwell","PHI","4,500","RB","4.4","3.4","6.7","90.1","0.0","Monday","","",""
