"Name","Salary","Position","Matchup","Team","Opponent","Ownership %"
"Devin Singletary","5,300","RB","ARI@HOU","HOU","ARI","23.4"
"Trey McBride","4,400","TE","ARI@HOU","ARI","HOU","22.1"
"Tyreek Hill","9,300","WR","LV@MIA","MIA","LV","18.4"
"Tank Dell","5,900","WR","ARI@HOU","HOU","ARI","18.3"
"Tony Pollard","6,600","RB","DAL@CAR","DAL","CAR","17.1"
"Brock Purdy","5,800","QB","TB@SF","SF","TB","16.3"
"Christian McCaffrey","9,300","RB","TB@SF","SF","TB","15.5"
"Austin Ekeler","8,600","RB","LAC@GB","LAC","GB","14.8"
"Marquise Brown","5,300","WR","ARI@HOU","ARI","HOU","14.8"
"Aaron Jones","6,200","RB","LAC@GB","GB","LAC","14.6"
"Amon-Ra St. Brown","8,800","WR","CHI@DET","DET","CHI","13.8"
"Brian Robinson Jr.","5,800","RB","NYG@WAS","WAS","NYG","13.6"
"Christian Kirk","6,000","WR","TEN@JAX","JAX","TEN","13.1"
"Evan Engram","4,300","TE","TEN@JAX","JAX","TEN","12.9"
"Dalton Schultz","5,000","TE","ARI@HOU","HOU","ARI","12.7"
"James Conner","5,700","RB","ARI@HOU","ARI","HOU","12.6"
"CeeDee Lamb","9,200","WR","DAL@CAR","DAL","CAR","12.5"
"Brandon Aiyuk","7,200","WR","TB@SF","SF","TB","12.3"
"Terry McLaurin","5,800","WR","NYG@WAS","WAS","NYG","12.3"
"Rondale Moore","3,300","WR","ARI@HOU","ARI","HOU","12.3"
"Travis Etienne Jr.","7,200","RB","TEN@JAX","JAX","TEN","12.2"
"Breece Hall","6,400","RB","NYJ@BUF","NYJ","BUF","11.8"
"DJ Moore","5,600","WR","CHI@DET","CHI","DET","11.6"
"Deebo Samuel","6,300","WR","TB@SF","SF","TB","10.9"
"Cole Kmet","4,100","TE","CHI@DET","CHI","DET","10.7"
"Dalton Kincaid","4,900","TE","NYJ@BUF","BUF","NYJ","10.3"
"Cooper Kupp","8,100","WR","SEA@LAR","LAR","SEA","10.2"
"C.J. Stroud","7,000","QB","ARI@HOU","HOU","ARI","10.2"
"Kyler Murray","6,100","QB","ARI@HOU","ARI","HOU","9.9"
"Josh Jacobs","6,800","RB","LV@MIA","LV","MIA","9.8"
"Saquon Barkley","7,100","RB","NYG@WAS","NYG","WAS","9.6"
"Jahmyr Gibbs","7,000","RB","CHI@DET","DET","CHI","9.3"
"Calvin Ridley","5,400","WR","TEN@JAX","JAX","TEN","9.3"
"Commanders","3,600","DST","NYG@WAS","WAS","NYG","9.3"
"Jerome Ford","5,200","RB","PIT@CLE","CLE","PIT","9.2"
"Keenan Allen","9,000","WR","LAC@GB","LAC","GB","9.1"
"Dolphins","3,200","DST","LV@MIA","MIA","LV","9.1"
"Jared Goff","6,600","QB","CHI@DET","DET","CHI","8.8"
"Logan Thomas","3,700","TE","NYG@WAS","WAS","NYG","8.5"
"Garrett Wilson","6,400","WR","NYJ@BUF","NYJ","BUF","8.4"
"Robert Woods","3,700","WR","ARI@HOU","HOU","ARI","8.2"
"Packers","2,300","DST","LAC@GB","GB","LAC","8.2"
"DeAndre Hopkins","6,100","WR","TEN@JAX","TEN","JAX","8.1"
"Puka Nacua","7,100","WR","SEA@LAR","LAR","SEA","7.7"
"Sam LaPorta","5,800","TE","CHI@DET","DET","CHI","7.7"
"Sam Howell","6,300","QB","NYG@WAS","WAS","NYG","7.2"
"Curtis Samuel","3,600","WR","NYG@WAS","WAS","NYG","7.1"
"Trevor Lawrence","6,000","QB","TEN@JAX","JAX","TEN","6.2"
"Dak Prescott","7,300","QB","DAL@CAR","DAL","CAR","6.1"
"Jets","2,600","DST","NYJ@BUF","NYJ","BUF","6.1"
"De'Von Achane","6,600","RB","LV@MIA","MIA","LV","5.9"
