"Name","Fpts","Position","Team","Opponent","Salary","Value","Slate","IsEar","IsAft"
"Patrick Mahomes","21.72","QB","KC","PHI","8,000","2.71","Monday","0","0"
"Travis Kelce","21.13","TE","KC","PHI","8,100","2.61","Monday","0","0"
"Jalen Hurts","20.38","QB","PHI","KC","8,300","2.46","Monday","0","0"
"A.J. Brown","18.26","WR","PHI","KC","8,900","2.05","Monday","0","0"
"D'Andre Swift","13.93","RB","PHI","KC","6,700","2.08","Monday","0","0"
"DeVonta Smith","13.30","WR","PHI","KC","7,000","1.90","Monday","0","0"
"Isiah Pacheco","12.59","RB","KC","PHI","6,300","2.00","Monday","0","0"
"Rashee Rice","10.99","WR","KC","PHI","5,300","2.07","Monday","0","0"
"Harrison Butker","8.20","K","KC","PHI","7,500","1.09","Monday","0","0"
"Jake Elliott","7.29","K","PHI","KC","7,800","0.94","Monday","0","0"
"Eagles","7.22","DST","PHI","KC","2,800","2.58","Monday","0","0"
"Chiefs","7.21","DST","KC","PHI","2,600","2.77","Monday","0","0"
"Justin Watson","5.48","WR","KC","PHI","3,000","1.83","Monday","0","0"
"Jerick McKinnon","5.39","RB","KC","PHI","4,600","1.17","Monday","0","0"
"Kenneth Gainwell","4.39","RB","PHI","KC","4,500","0.98","Monday","0","0"
"Marquez Valdes-Scantling","4.28","WR","KC","PHI","3,100","1.38","Monday","0","0"
"Skyy Moore","3.80","WR","KC","PHI","3,000","1.27","Monday","0","0"
"Noah Gray","3.48","TE","KC","PHI","2,500","1.39","Monday","0","0"
"Jack Stoll","2.87","TE","PHI","KC","3,000","0.96","Monday","0","0"
"Olamide Zaccheaus","2.69","WR","PHI","KC","3,000","0.90","Monday","0","0"
"Julio Jones","2.63","WR","PHI","KC","3,000","0.88","Monday","0","0"
"Kadarius Toney","2.33","WR","KC","PHI","3,300","0.70","Monday","0","0"
"Mecole Hardman Jr.","2.23","WR","KC","PHI","3,200","0.70","Monday","0","0"
"Grant Calcaterra","2.03","TE","PHI","KC","2,500","0.81","Monday","0","0"
"Albert Okwuegbunam","1.06","TE","PHI","KC","2,500","0.42","Monday","0","0"
"Blake Bell","0.74","TE","KC","PHI","2,500","0.30","Monday","0","0"
"Clyde Edwards-Helaire","0.71","RB","KC","PHI","4,000","0.18","Monday","0","0"
"Boston Scott","0.54","RB","PHI","KC","4,000","0.13","Monday","0","0"
"Kyler Murray","0.00","QB","ARI","HOU","6,100","0.00","Main","1","0"
"Clayton Tune","0.00","QB","ARI","HOU","4,700","0.00","Main","1","0"
"Tony Jones Jr.","0.00","RB","ARI","HOU","4,000","0.00","Main","1","0"
"Keaontay Ingram","0.00","RB","ARI","HOU","4,200","0.00","Main","1","0"
"Emari Demercado","0.00","RB","ARI","HOU","4,400","0.00","Main","1","0"
"James Conner","0.00","RB","ARI","HOU","5,700","0.00","Main","1","0"
"Rondale Moore","0.00","WR","ARI","HOU","3,300","0.00","Main","1","0"
"Marquise Brown","0.00","WR","ARI","HOU","5,300","0.00","Main","1","0"
"Michael Wilson","0.00","WR","ARI","HOU","3,400","0.00","Main","1","0"
"Greg Dortch","0.00","WR","ARI","HOU","3,000","0.00","Main","1","0"
"Zach Pascal","0.00","WR","ARI","HOU","3,000","0.00","Main","1","0"
"Andre Baccellia","0.00","WR","ARI","HOU","3,000","0.00","Main","1","0"
"Elijah Higgins","0.00","TE","ARI","HOU","2,500","0.00","Main","1","0"
"Trey McBride","0.00","TE","ARI","HOU","4,400","0.00","Main","1","0"
"Geoff Swaim","0.00","TE","ARI","HOU","2,500","0.00","Main","1","0"
"Zach Ertz","0.00","TE","ARI","HOU","2,500","0.00","Main","1","0"
"Cardinals","0.00","DST","ARI","HOU","2,900","0.00","Main","1","0"
"Josh Allen","0.00","QB","BUF","NYJ","8,200","0.00","Main","0","1"
"Kyle Allen","0.00","QB","BUF","NYJ","4,900","0.00","Main","0","1"
"James Cook","0.00","RB","BUF","NYJ","6,100","0.00","Main","0","1"
"Ty Johnson","0.00","RB","BUF","NYJ","4,300","0.00","Main","0","1"
"Latavius Murray","0.00","RB","BUF","NYJ","4,800","0.00","Main","0","1"
"Reggie Gilliam","0.00","RB","BUF","NYJ","4,000","0.00","Main","0","1"
"Damien Harris","0.00","RB","BUF","NYJ","4,400","0.00","Main","0","1"
"Deonte Harty","0.00","WR","BUF","NYJ","3,000","0.00","Main","0","1"
"Gabe Davis","0.00","WR","BUF","NYJ","5,500","0.00","Main","0","1"
"Khalil Shakir","0.00","WR","BUF","NYJ","3,200","0.00","Main","0","1"
"Trent Sherfield","0.00","WR","BUF","NYJ","3,000","0.00","Main","0","1"
"Stefon Diggs","0.00","WR","BUF","NYJ","9,100","0.00","Main","0","1"
"Andy Isabella","0.00","WR","BUF","NYJ","3,000","0.00","Main","0","1"
"Dalton Kincaid","0.00","TE","BUF","NYJ","4,900","0.00","Main","0","1"
"Quintin Morris","0.00","TE","BUF","NYJ","2,500","0.00","Main","0","1"
"Payne Durham","0.00","TE","BUF","NYJ","2,500","0.00","Main","0","1"
"Bills","0.00","DST","BUF","NYJ","4,000","0.00","Main","0","1"
"Bryce Young","0.00","QB","CAR","DAL","5,100","0.00","Main","1","0"
"Andy Dalton","0.00","QB","CAR","DAL","4,500","0.00","Main","1","0"
"Miles Sanders","0.00","RB","CAR","DAL","4,600","0.00","Main","1","0"
"Chuba Hubbard","0.00","RB","CAR","DAL","4,900","0.00","Main","1","0"
"Raheem Blackshear","0.00","RB","CAR","DAL","4,000","0.00","Main","1","0"
"Giovanni Ricci","0.00","RB","CAR","DAL","2,500","0.00","Main","1","0"
"Laviska Shenault Jr.","0.00","WR","CAR","DAL","3,000","0.00","Main","1","0"
"Adam Thielen","0.00","WR","CAR","DAL","7,500","0.00","Main","1","0"
"DJ Chark Jr.","0.00","WR","CAR","DAL","3,300","0.00","Main","1","0"
"Jonathan Mingo","0.00","WR","CAR","DAL","3,400","0.00","Main","1","0"
"Terrace Marshall Jr.","0.00","WR","CAR","DAL","3,000","0.00","Main","1","0"
"Ihmir Smith-Marsette","0.00","WR","CAR","DAL","3,000","0.00","Main","1","0"
